Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 8,NaN,NaN,NaN,NaN,May 2020,2,1180,7669,9049420,1180,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,December 2020,1,376,9308,3499808,376,Goa
Available,Not Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,1,1st of 3,NaN,NaN,NaN,NaN,December 2020,2,900,7222,6499800,900,Goa
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,4,NaN,NaN,"2 rooms(study room, pooja room)",NaN,NaN,April 2020,5,3272,7946,25999312,3272,Goa
Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2019,3,1140,6394,7289160,1140,Goa
Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2019,2,810,6530,5289300,810,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,April 2020,2,1173,6997,8207481,1173,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,September 2020,2,1730,12098,20929540,1730,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,September 2020,2,1730,12098,20929540,1730,Goa
Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2019,3,1500,6460,9690000,1500,Goa
