Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,City,Carpet_area
Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,1275,5735,7312125,Bengaluru,0
Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,October 2020,2,1323,5999,7936677,Bengaluru,1018
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,2,1180,4491,5299380,Bengaluru,0
Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,3,1202,2079,2498958,Bengaluru,0
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,November 2020,3,1521,3616,5499936,Bengaluru,0
Available,Not Available,Available,Available,Available,Available,Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,1062,6120,6499440,Bengaluru,0
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,950,4600,4370000,Bengaluru,0
Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,December 2020,2,1305,6602,8615610,Bengaluru,0
Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,October 2020,6,2000,6750,13500000,Bengaluru,1650
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,3,1365,4676,6382740,Bengaluru,1065
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,4,NaN,Resale,NaN,NaN,NaN,October 2020,3,1200,6250,7500000,Bengaluru,1000
Available,Available,Not Available,Available,Available,Available,Available,Available,Under Construction,NaN,Gr,New,NaN,NaN,NaN,May 2020,2,1110,5281,5861910,Bengaluru,0
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1401,5852,8198652,Bengaluru,0
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1740,8923,15526020,Bengaluru,0
Not Available,Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,November 2020,3,1769,5166,9138654,Bengaluru,0
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,1100,4000,4400000,Bengaluru,900
Available,Available,Available,Available,Available,Available,Not Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,2,1091,5041,5499731,Bengaluru,0
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,October 2020,2,867,6495,5631165,Bengaluru,0
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,3,1365,6227,8499855,Bengaluru,0
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,November 2020,3,1650,5151,8499150,Bengaluru,1500
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,4,NaN,Resale,NaN,NaN,NaN,April 2020,4,3271,12300,40233300,Bengaluru,0
Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,2,1232,7711,9499952,Bengaluru,0
Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,April 2020,2,1220,5641,6882020,Bengaluru,830
