Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,2,1st of 3,NaN,NaN,NaN,NaN,March 2020,2,850,2352,1999200,850,Indore
Not Available,Available,Available,Available,Not Available,Available,Available,Available,Ready to move,1,NaN,NaN,NaN,1,NaN,February 2020,1,462,2489,1149918,462,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,5th of 6,NaN,NaN,NaN,NaN,February 2020,2,850,2117,1799450,850,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 6,NaN,NaN,NaN,NaN,March 2020,2,1008,2579,2599632,1008,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,1,1st of 4,NaN,NaN,NaN,NaN,February 2020,1,550,2090,1149500,550,Indore
Not Available,Not Available,Available,Available,Available,Available,Not Available,Available,Ready to move,2,3rd of 6,NaN,NaN,NaN,NaN,December 2019,2,832,1923,1599936,832,Indore
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,3rd of 6,NaN,NaN,NaN,NaN,March 2020,1,585,2222,1299870,585,Indore
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,1,1st of 6,NaN,NaN,NaN,NaN,December 2020,1,703,2560,1799680,703,Indore
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,1,1st of 6,NaN,NaN,NaN,NaN,September 2020,1,526,2595,1364970,526,Indore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,5th of 50,NaN,NaN,NaN,NaN,December 2019,2,927,2804,2599308,927,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,1,3rd of 4,NaN,NaN,NaN,NaN,February 2020,1,550,2000,1100000,550,Indore
Not Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,4th of 5,NaN,NaN,NaN,NaN,February 2020,3,1550,3225,4998750,1550,Indore
Available,Available,Available,Available,Not Available,Available,Available,Available,Ready to move,2,2nd of 6,NaN,NaN,NaN,NaN,December 2019,2,1202,2662,3199724,1202,Indore
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,2,1st of 6,NaN,NaN,NaN,NaN,October 2020,2,1060,3450,3657000,1060,Indore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,3rd of 4,NaN,NaN,NaN,NaN,December 2019,2,1000,2500,2500000,1000,Indore
Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 4,NaN,NaN,NaN,NaN,March 2020,2,935,3465,3239775,935,Indore
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,1,6th of 6,NaN,NaN,NaN,NaN,November 2020,1,530,2100,1113000,530,Indore
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,1st of 6,NaN,NaN,NaN,NaN,September 2020,2,1045,2154,2250930,1045,Indore
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,2,3rd of 6,NaN,NaN,NaN,NaN,February 2020,2,985,2995,2950075,985,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,1st of 10,NaN,NaN,NaN,NaN,December 2019,2,1130,2566,2899580,1130,Indore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,2nd of 4,NaN,NaN,NaN,NaN,March 2020,2,750,3998,2998500,750,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,3rd of 5,NaN,NaN,NaN,NaN,December 2020,2,950,2105,1999750,950,Indore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,2nd of 3,NaN,NaN,NaN,NaN,February 2020,2,810,3086,2499660,810,Indore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,1st of 6,NaN,NaN,NaN,NaN,February 2020,3,1680,2892,4858560,1680,Indore
Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,3rd of 6,NaN,NaN,NaN,NaN,December 2019,2,991,2320,2299120,991,Indore
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,3rd of 3,NaN,NaN,NaN,NaN,October 2020,2,835,3113,2599355,835,Indore
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,2,1st of 6,NaN,NaN,NaN,NaN,December 2019,2,1161,3500,4063500,1161,Indore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,2nd of 5,NaN,NaN,NaN,NaN,December 2019,2,750,2000,1500000,750,Indore
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,2,2nd of 6,NaN,NaN,NaN,NaN,December 2020,2,1173,3027,3550671,1173,Indore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,8th of 8,NaN,NaN,NaN,NaN,December 2020,2,1300,3692,4799600,1300,Indore
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 6,NaN,NaN,NaN,NaN,December 2020,2,1000,2151,2151000,1000,Indore
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Under Construction,2,1st of 8,NaN,NaN,NaN,NaN,December 2020,2,1000,2870,2870000,1000,Indore
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,2nd of 6,NaN,NaN,NaN,NaN,December 2020,2,1130,2831,3199030,1130,Indore
Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,November 2020,4,2060,3900,8034000,2060,Indore
Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,November 2020,4,2387,3900,9309300,2387,Indore
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,March 2020,5,2111,2175,4591425,2111,Indore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,March 2020,2,650,3018,1961700,650,Indore
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,July 2020,4,3100,1854,5747400,3100,Indore
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,July 2020,2,1050,1648,1730400,1050,Indore
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,June 2020,2,930,2000,1860000,930,Indore
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,July 2020,2,970,1809,1754730,970,Indore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,July 2020,2,990,3901,3861990,990,Indore
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,June 2020,2,700,2228,1559600,700,Indore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,February 2020,2,656,2225,1459600,656,Indore
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,July 2020,2,656,2225,1459600,656,Indore
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Under Construction,1,2nd of 6,NaN,NaN,NaN,NaN,November 2020,1,695,2100,1459500,695,Indore
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Under Construction,1,5th of 6,NaN,NaN,NaN,NaN,November 2020,1,530,2100,1113000,530,Indore
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,1,5th of 6,NaN,NaN,NaN,NaN,November 2020,1,695,2100,1459500,695,Indore
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,1,6th of 6,NaN,NaN,NaN,NaN,November 2020,1,530,2100,1113000,530,Indore
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,1,2nd of 6,NaN,NaN,NaN,NaN,November 2020,1,695,2100,1459500,695,Indore
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,1,5th of 6,NaN,NaN,NaN,NaN,November 2020,1,530,2100,1113000,530,Indore
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Under Construction,1,3rd of 6,NaN,NaN,NaN,NaN,November 2020,1,695,2100,1459500,695,Indore
