Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,City,Carpet_area
Not Available,Not Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,4,NaN,Resale,NaN,NaN,NaN,December 2019,4,2300,3695,8498500,Dehradun,0
Available,Not Available,Not Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,February 2020,1,555,9000,4995000,Dehradun,0
Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,3,NaN,NaN,1 rooms(study room),NaN,NaN,March 2020,3,1810,3812,6899720,Dehradun,1485
Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,2nd of 3,NaN,NaN,NaN,NaN,March 2020,2,1150,3652,4199800,Dehradun,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,3rd of 7,NaN,NaN,NaN,NaN,May 2020,2,1235,4500,5557500,Dehradun,1135
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,3rd of 3,NaN,NaN,NaN,NaN,August 2020,3,1700,3235,5499500,Dehradun,1550
Not Available,Not Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,1,1st of 3,NaN,NaN,NaN,NaN,July 2020,1,484,723,349932,Dehradun,377
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,3,1st of 8,NaN,NaN,NaN,NaN,December 2020,3,1790,4357,7799030,Dehradun,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,5th of 7,NaN,NaN,NaN,NaN,October 2020,3,1650,3272,5398800,Dehradun,1400
Available,Available,Available,Available,Available,Not Available,Available,Available,Under Construction,3,4th of 8,NaN,NaN,NaN,NaN,February 2020,3,1878,3780,7098840,Dehradun,1400
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,2nd of 6,NaN,NaN,NaN,NaN,July 2020,3,1850,3783,6998550,Dehradun,1200
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,3,NaN,NaN,NaN,3,NaN,November 2020,3,1750,3714,6499500,Dehradun,1300
Available,Available,Available,Available,Not Available,Available,Available,Available,Ready to move,1,5th of 6,NaN,NaN,NaN,NaN,December 2020,1,580,4413,2559540,Dehradun,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,4th of 7,NaN,NaN,NaN,NaN,November 2020,3,1680,3988,6699840,Dehradun,0
Not Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,2,2nd of 5,NaN,NaN,NaN,NaN,September 2020,2,1250,3040,3800000,Dehradun,1050
Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,4th of 7,NaN,NaN,NaN,NaN,March 2020,3,1510,4122,6224220,Dehradun,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 6,NaN,NaN,NaN,NaN,December 2019,3,1460,3802,5550920,Dehradun,1000
Not Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,3,2nd of 7,NaN,NaN,NaN,NaN,March 2020,3,1810,3941,7133210,Dehradun,0
Available,Available,Not Available,Available,Not Available,Available,Not Available,Available,Ready to move,3,NaN,NaN,1 rooms(study room),NaN,NaN,November 2020,3,1900,4473,8498700,Dehradun,1700
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,4,4th of 9,NaN,NaN,NaN,NaN,November 2020,4,3600,4444,15998400,Dehradun,0
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,2,1st of 10,NaN,NaN,NaN,NaN,December 2019,2,1391,4960,6899360,Dehradun,1300
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,1,1st of 3,NaN,NaN,NaN,NaN,November 2020,1,700,3142,2199400,Dehradun,650
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,5th of 9,NaN,NaN,NaN,NaN,March 2020,3,1925,3600,6930000,Dehradun,0
Available,Available,Available,Not Available,Not Available,Available,Available,Available,Ready to move,3,2nd of 7,NaN,NaN,NaN,NaN,November 2020,3,1950,4358,8498100,Dehradun,1550
Not Available,Available,Available,Not Available,Not Available,Available,Available,Available,Ready to move,2,1st of 2,NaN,NaN,NaN,NaN,March 2020,2,400,87500,35000000,Dehradun,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,2nd of 8,NaN,NaN,NaN,NaN,November 2020,3,1794,4180,7498920,Dehradun,992
Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,Under Construction,1,2nd of 2,NaN,NaN,NaN,NaN,March 2020,1,630,3015,1899450,Dehradun,0
Not Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2019,2,1250,3120,3900000,Dehradun,0
Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,1,1st of 3,NaN,NaN,NaN,NaN,March 2020,1,650,3846,2499900,Dehradun,0
Available,Available,Available,Not Available,Available,Not Available,Available,Available,Ready to move,3,2nd of 4,NaN,NaN,NaN,NaN,March 2020,3,1821,1263,2299923,Dehradun,0
Available,Not Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,1,Gr of 2,NaN,NaN,NaN,NaN,December 2020,1,532,4229,2249828,Dehradun,0
Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,4th of 7,NaN,NaN,NaN,NaN,March 2020,3,1535,4853,7449355,Dehradun,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,1,5th of 7,NaN,NaN,NaN,NaN,May 2020,1,800,4875,3900000,Dehradun,700
Available,Available,Not Available,Available,Not Available,Available,Not Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,October 2020,2,1480,3918,5798640,Dehradun,0
Available,Available,Not Available,Available,Not Available,Available,Not Available,Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,October 2020,1,580,4482,2599560,Dehradun,0
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,2nd of 5,NaN,NaN,NaN,NaN,July 2020,2,1326,3770,4999020,Dehradun,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,3rd of 7,NaN,NaN,NaN,NaN,April 2020,3,1917,4500,8626500,Dehradun,1817
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,3,3rd of 5,NaN,NaN,NaN,NaN,July 2020,3,1850,3513,6499050,Dehradun,0
